,descriptions_tags,image_links,links,names,percent recycled
27,Other,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/closed_loop_plastics-3d_printing_role_190626_1.jpg,https://www.closedloopplastics.com/product-page/hips-party-cups-filament,3D Printing Filament,100
28,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200515152337_9_jsfwd_196_q18_1.png,https://www.bermudasandsapparel.com/pages/sustainability,Bermuda Sands Polos,100
29,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200425180507_9_jsfwd_196_q18_1.png,https://tunaskin.co/product-category/men/mens-echo-performance/,Tunaskin Men and Women's Apparel,100
30,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200426124234_9_jsfwd_196_q18_1.jpg,https://southerntide.com/collections/repreve,Men's Long Sleeve T-shirt,100
31,Construction,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200519213836_9_jsfwd_196_q18_1.jpg,http://www.trex.com,"Trex Decking, Railing, Fencing",95
32,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200425135156_9_jsfwd_196_q18_1.png,https://www.yoggx.com/search?q=repreve,Men's Apparel- Collection Deux,90
33,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200425163922_9_jsfwd_196_q18_1.png,https://vonadhona.com,Vonadhona Women's Swimwear,86
34,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200429140409_9_jsfwd_196_q18_1.png,https://www.nubianatalie.co,Nubia Women's Activewear,86
35,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200514224822_9_jsfwd_196_q18_1.png,https://anowisurf.com,Anowi Women's Surfwear,83
36,Home Care,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200512001647_9_jsfwd_196_q18_1.png,http://www.revolutionbag.com/products,Revolution Bag Trash Bags/Can Liners,70
37,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200512232150_9_jsfwd_196_q18_1.png,https://recoverbrands.com,"Recover Brands Men, Women and Children's Apparel",50
38,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200514230557_9_jsfwd_196_q18_1.png,https://shop.aramarkuniform.com/s-catalog-shirts-polos-eco-short-sleeve-half-stripe-polo?style=14394,Eco Short-Sleeve Half-Stripe Polo,100
39,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200429114049_9_jsfwd_196_q18_1.png,https://www.roxy.com/search/?q=recycled,Roxy Women's Jacket,100
