,names,prices,links,image_links
0,Organic Tank - Midnight,49,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tank-midnight,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tank-midnight
1,Organic Tank - Cloud,49,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tank-cloud,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tank-cloud
2,Organic Tank - Latte,49,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tank-latte,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tank-latte
3,Organic Tee - Midnight,59,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tee-midnight,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tee-midnight
4,Organic Tee - Latte,59,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tee-latte,https://teamtimbuktu.com/collections/organic-cotton/products/organic-tee-latte
5,Organic Long Sleeve Tee - Navy,59,https://teamtimbuktu.com/collections/organic-cotton/products/navy-long-sleeve-tee,https://teamtimbuktu.com/collections/organic-cotton/products/navy-long-sleeve-tee
6,Organic Long Sleeve Tee - Gumnut,59,https://teamtimbuktu.com/collections/organic-cotton/products/gumnut-long-sleeve-tee,https://teamtimbuktu.com/collections/organic-cotton/products/gumnut-long-sleeve-tee
7,Organic Jumper - Navy,89,https://teamtimbuktu.com/collections/organic-cotton/products/navy-crew-jumper,https://teamtimbuktu.com/collections/organic-cotton/products/navy-crew-jumper
8,Organic Jumper - Gumnut,89,https://teamtimbuktu.com/collections/organic-cotton/products/gumnut-crew-jumper,https://teamtimbuktu.com/collections/organic-cotton/products/gumnut-crew-jumper
