,names,prices,links,image_links
0,Metal Straws & Pouch - Metallic Blue,$24.00,https://www.theahimsacollective.com//collections/all/products/ac-x-ccc-reusable-metal-straw-pouch-silver,https://www.theahimsacollective.com//collections/all/products/ac-x-ccc-reusable-metal-straw-pouch-silver
1,Metal Straws & Pouch - Black,$24.00,https://www.theahimsacollective.com//collections/all/products/ac-x-ccc-reusable-metal-straw-pouch-1,https://www.theahimsacollective.com//collections/all/products/ac-x-ccc-reusable-metal-straw-pouch-1
2,Hang Five Bag Chain - Gunmetal,$14.00,https://www.theahimsacollective.com//collections/all/products/hang-five-chain,https://www.theahimsacollective.com//collections/all/products/hang-five-chain
3,Drop It Like It’s Hot Bag Chain - Gunmetal,$24.00,https://www.theahimsacollective.com//collections/all/products/drop-it-like-its-hot-chain,https://www.theahimsacollective.com//collections/all/products/drop-it-like-its-hot-chain
4,Strap In Bag Strap - Gunmetal,$34.00,https://www.theahimsacollective.com//collections/all/products/thick-strap-gunmetal,https://www.theahimsacollective.com//collections/all/products/thick-strap-gunmetal
5,Strap In Bag Strap - Black,$34.00,https://www.theahimsacollective.com//collections/all/products/thick-strap-gold,https://www.theahimsacollective.com//collections/all/products/thick-strap-gold
